id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33438176,BEAUTIFUL APARTMENT WITH ALPINE VIEW,251908862,Walter,,Obergiesing,48.11228,11.59467,Entire home/apt,192,2,11,2019-11-10,0.37,1,0,0,
33439780,Stylisch eingerichtete Wohnung mitten in München,251707687,Anton,,Maxvorstadt,48.14546,11.57589,Entire home/apt,179,5,67,2021-08-29,2.24,2,195,20,
33444225,CHILD FRIENDLY APARTMENT IN THE HEART OF MUNICH,251952159,Christoph,,Au-Haidhausen,48.1285,11.60187,Entire home/apt,413,5,0,,,1,0,0,
33447512,Nettes Appartement im Zentrum von München,34774055,Diya,,Thalkirchen,48.0837,11.50165,Private room,85,1,1,2019-03-31,0.03,1,89,0,
33447642,LIVE AND STAY IN THE HEART OF MUNICH,251980020,Philipp,,Sendling,48.11202,11.55307,Entire home/apt,204,2,1,2019-04-23,0.03,1,0,0,
33460440,"Zentrale Altbauwohnung (3 Zimmer, 2.Stock)",13477577,Gyöngyi,,Au-Haidhausen,48.12735,11.58409,Entire home/apt,175,33,21,2019-12-19,0.76,2,110,0,
33463675,"Easylivingmunich, Herbergshaus mit Garten ,zentral",138494392,Anuschka,,Au-Haidhausen,48.13207,11.59751,Private room,89,2,0,,,1,178,0,
33478625,"bedroom in Schwabing, trade fair BAUMA",13382100,Michaela,,Schwabing-West,48.16321,11.56542,Entire home/apt,80,2,2,2019-10-09,0.07,4,169,0,
33480139,"Toms zentrale, gemütl. Whg mit HomeOffice & Garten",1013283,Thomas,,Bogenhausen,48.15167,11.61309,Entire home/apt,42,7,10,2021-07-01,0.34,1,0,3,
33490336,Spacious & bright room in the city center,173489291,Nina,,Ludwigsvorstadt-Isarvorstadt,48.13113,11.56356,Private room,110,3,1,2019-04-12,0.03,1,87,0,
33490602,Neubau Studio zum fairen Preis,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.11165,11.61676,Entire home/apt,64,25,26,2020-03-14,1.01,33,62,7,
33520375,Gemütliche Wohnung direkt am Olympiapark,128722362,Kirsten,,Schwabing-West,48.16669,11.55663,Entire home/apt,250,1,5,2019-04-11,0.17,1,90,0,
33520914,Cozy Flat - U5 Friedenheimer Straße,38369790,Steffi & Justin,,Laim,48.13467,11.50857,Entire home/apt,145,3,2,2021-08-26,0.07,1,42,1,
33522607,Cosy flat in peaceful location,20260380,Catharina,,Obergiesing,48.11771,11.58264,Entire home/apt,67,2,2,2019-09-23,0.08,1,16,0,
33544938,"Top Lage Einzel-, Doppel- oder 3-Bettzimmer",27400199,Ruth,,Berg am Laim,48.12116,11.62626,Private room,80,2,2,2019-05-17,0.07,2,0,0,
33545684,Private room near Rotkreuzplatz for BAUMA visitors,107456341,Irmi,,Neuhausen-Nymphenburg,48.15302,11.53335,Private room,140,6,0,,,1,27,0,
33546291,"Schöne Wohnung in Obersendling, perfekte Anbindung",8963499,Lucia,,Sendling,48.10406,11.53779,Entire home/apt,93,7,36,2019-11-28,1.25,1,87,1,
33555991,München+,91595585,Hedi+Ahlem,,Milbertshofen-Am Hart,48.19712,11.58092,Private room,90,1,2,2019-04-12,0.07,8,332,0,
33570558,115 m² with 3 bedrooms + 2 bathrooms with kitchen,2266917,Verena,,Sendling-Westpark,48.11922,11.52386,Entire home/apt,165,30,1,2019-04-23,0.03,25,89,0,
33587376,Schönes Zimmer in stilvoller Altbauwohnung,55923808,Astrid,,Sendling,48.11073,11.53892,Private room,60,3,0,,,1,0,0,
33600793,Guest room in apartment within residential area,119868072,Mi Casa,,Sendling,48.10479,11.53962,Private room,35,2,55,2020-09-25,1.91,2,48,23,
33609836,"Schwabing, central, cosy, very sunny",253269847,Hanns,,Schwabing-West,48.16807,11.57385,Entire home/apt,92,3,18,2020-10-09,0.63,1,353,5,
33610680,"Modern,small  penthouse in the center",224119696,Pietro,,Neuhausen-Nymphenburg,48.14749,11.53981,Entire home/apt,170,30,0,,,3,0,0,
33624826,"UNIQUE, CENTRAL APARTMENT WITH GARDEN",253400876,Vadim,,Maxvorstadt,48.15222,11.57573,Entire home/apt,176,2,1,2019-04-23,0.03,1,0,0,
33626825,Perfect for the Oktoberfest :),218558038,Laura,,Berg am Laim,48.12233,11.61714,Entire home/apt,90,14,1,2019-05-17,0.03,1,84,0,
33627942,YOUR TRANQUIL HOME AWAY FROM HOME,253420242,Doha,,Schwabing-West,48.16322,11.56729,Entire home/apt,114,2,5,2019-10-06,0.19,1,0,0,
33630177,UNIQUE DESIGNER APARTMENT IN THE MAXVORSTADT,253435164,Augusta,,Schwabing-West,48.15814,11.5631,Entire home/apt,226,2,0,,,1,0,0,
33630897,Wohnung in München,253440210,C,,Milbertshofen-Am Hart,48.19715,11.58281,Entire home/apt,160,1,2,2019-10-02,0.07,1,90,0,
33633043,Schönes Privatzimmer mit Gartenmitbenutzung,253456308,Nina,,Ramersdorf-Perlach,48.08585,11.64254,Private room,29,2,47,2019-07-01,1.58,1,40,9,
33634972,Nähe  von S Bahn,972712,Michael,,Bogenhausen,48.1604,11.64977,Private room,25,1,7,2019-04-30,0.23,4,3,0,
33635514,Zimmer mit Gartenblick,972712,Michael,,Bogenhausen,48.16269,11.65779,Private room,28,1,0,,,4,3,0,
33635979,BAUMA  Zimmer(mit Ubahn ohne Stau  zur Messe :-),124433243,Alex,,Thalkirchen,48.09085,11.49285,Private room,129,1,0,,,1,90,0,
33655740,"3 Z. moderne Wellnesswohnung Sauna, Kamin, Fitness",253646743,Nelli Und Alex,,Allach-Untermenzing,48.18955,11.47327,Entire home/apt,120,2,29,2020-01-02,0.96,2,40,4,
33659267,HighQual. Apprtmt. mit Boxspr.Couch Nähe O2-Tower,153618814,Req,,Moosach,48.17763,11.51791,Entire home/apt,57,1,27,2019-07-06,0.93,1,68,3,
33671491,Beautiful apartment in Munich Glockenbach,48220845,Simon,,Ludwigsvorstadt-Isarvorstadt,48.12456,11.56386,Entire home/apt,50,21,2,2021-04-29,0.07,1,36,1,
33673565,Private Room with shared bathroom - 200 m to BAUMA,110446796,Thomas,,Tudering-Riem,48.13222,11.70327,Private room,180,1,1,2019-04-10,0.03,1,90,0,
33673725,"Sunny room (25sqm) private bathroom & terrace, U6",130658015,Valerie & Stefan,,Schwabing-Freimann,48.17448,11.59913,Private room,70,1,29,2019-07-23,1.00,2,1,0,
33674320,Luxury appartment in the center,224119696,Pietro,,Altstadt-Lehel,48.13241,11.57179,Entire home/apt,170,2,0,,,3,0,0,
33680027,Schwabing - zentral - ruhig - liebevoll,253818871,Melanie,,Maxvorstadt,48.15334,11.56649,Private room,55,1,29,2019-10-08,0.99,1,233,0,
33682682,Our Guest Room at Neuperlach Zentrum,253879949,Kailash,,Ramersdorf-Perlach,48.10364,11.65545,Private room,36,1,10,2020-01-08,0.34,1,0,0,
33696271,"Quiet 2 room flat Munich East, close to Messe Riem",35416064,Norbert,,Tudering-Riem,48.11011,11.71061,Entire home/apt,120,2,4,2019-10-05,0.17,1,39,0,
33696947,"Central, Sunny Room right next to the Olympic Park",13979897,Max,,Schwabing-West,48.16875,11.56459,Private room,80,1,2,2019-06-10,0.07,1,0,0,
33700245,STAY IN THE HEART OF MUNICH,254029071,Beatrice,,Maxvorstadt,48.15173,11.56861,Entire home/apt,196,2,0,,,1,0,0,
33700855,"Big, luminous & cozy flat in Munich city-center",31421671,Damien,,Maxvorstadt,48.15117,11.5545,Entire home/apt,60,2,7,2019-04-22,0.29,1,0,0,
33705799,Cozy City Apartment,16818282,Chrissi,,Maxvorstadt,48.15528,11.57246,Entire home/apt,85,3,0,,,1,0,0,
33709297,"Alles da - Tolle 1,5 Zi  + Tiefg. + 2 Fahrräder!",254081676,Annette,,Tudering-Riem,48.1303,11.68482,Entire home/apt,59,2,95,2021-06-26,3.15,1,137,22,
33709767,Im Herzen von München Schwabing,36137621,Christopher,,Schwabing-West,48.16219,11.56525,Entire home/apt,80,2,2,2019-06-06,0.07,1,0,0,
33716757,Overnight stay close to MUC's heart,10607810,Thomas,,Pasing-Obermenzing,48.14699,11.45006,Shared room,41,1,9,2019-09-22,0.32,1,364,2,
33734466,MODERN APARTMENT NEAR THE ENGLISH GARDEN,254290387,Erik,,Bogenhausen,48.13875,11.62075,Entire home/apt,185,2,0,,,1,0,0,
33742550,"Chummy Room, 5 min to Oktoberfest",254350209,Bernhard,,Schwanthalerhöhe,48.13774,11.54434,Private room,173,2,2,2019-10-03,0.08,10,364,0,
33743760,[1-4] Wiesnunterkunft: Platz für bis zu 4,254350209,Bernhard,,Schwanthalerhöhe,48.13596,11.53821,Private room,173,2,0,,,10,364,0,
33759304,Ganze Wohnung,41906955,Marija,,Maxvorstadt,48.14551,11.55409,Entire home/apt,185,1,0,,,3,179,0,
33760371,Leben im Viertel,254484670,Markus,,Ludwigsvorstadt-Isarvorstadt,48.12512,11.55614,Private room,50,2,18,2019-12-31,0.62,1,178,0,
33762864,Central Room with two terraces and wide kitchen,74423523,Maurice,,Schwabing-West,48.17711,11.58092,Private room,50,9,11,2019-06-23,0.40,1,0,0,
33767567,"2 bedrooms with ensuite bathroom, perfect location",11624518,Hilli,,Thalkirchen,48.09122,11.49918,Private room,150,1,11,2019-11-24,0.37,2,7,0,
33775646,Zimmer in Altbauwohnung im Herzen Münchens,145488229,Verena,,Maxvorstadt,48.14975,11.54939,Private room,43,2,32,2019-10-07,1.15,1,32,2,
33792601,Cozy attic-room; close to Oktoberfest,11624518,Hilli,,Thalkirchen,48.08342,11.49479,Private room,38,1,4,2019-09-20,0.16,2,258,1,
33803190,Cosy central apartment,99698919,Marco,,Ramersdorf-Perlach,48.11563,11.61423,Entire home/apt,36,3,28,2021-08-11,1.16,1,0,9,
33805259,Zimmer in München-Sendling - 5 Min zum Oktoberfest,163465603,Alfred,,Sendling,48.12295,11.53931,Private room,148,1,0,,,1,364,0,
33814013,MINIMALISTIC APARTMENT IN QUIET LOCATION,255310484,Viola,,Bogenhausen,48.15543,11.63636,Entire home/apt,185,2,1,2019-07-04,0.04,1,0,0,
33815160,BE CLOSE TO THE CITY!,255317802,Lukas,,Maxvorstadt,48.15225,11.5636,Entire home/apt,217,2,4,2019-12-30,0.18,1,0,0,
33822504,Gemütliches Zimmer in Bestlage!,190242099,Elena,,Au-Haidhausen,48.12392,11.57761,Private room,43,3,51,2021-07-05,1.70,1,40,17,
33828630,THE PERFECT SPOT FOR YOU TO STAY!,255400035,Olivia,,Schwabing-Freimann,48.15929,11.58316,Entire home/apt,207,2,1,2019-08-04,0.04,1,0,0,
33841387,"Sunny penthouse (100sqm), terraces,U6,Engl. Garden",130658015,Valerie & Stefan,,Schwabing-Freimann,48.17641,11.59808,Entire home/apt,111,1,11,2021-08-09,4.93,2,6,6,
33851850,Cozy guest room in the green area of Munich,35863661,Claudia,,Thalkirchen,48.07718,11.52268,Private room,120,1,0,,,1,83,0,
33866818,Cozy accommodation in district Laim fast WIFI incl,108529072,Kirsten,,Laim,48.14202,11.50721,Private room,30,2,17,2019-09-29,0.57,1,151,0,
33894456,Helles Zimmer in Stadtparkwohnung - Nahe S-Bahn,31597143,Peter,,Pasing-Obermenzing,48.13763,11.4523,Private room,75,23,7,2019-09-23,0.25,1,151,0,
33920461,Little Cosy Studio Apartment,256158690,Christian,,Berg am Laim,48.11936,11.64341,Entire home/apt,85,2,10,2020-03-31,0.36,1,148,0,
33922243,Schöne Wohnung in Bestlage [15min zum Oktoberfest],44819891,Marcel,,Milbertshofen-Am Hart,48.1844,11.56427,Entire home/apt,300,1,2,2019-09-29,0.08,1,0,0,
33927587,Wunderschöne Erdgeschoss Wohnung mit Südbalkon,252128138,Steffen,,Neuhausen-Nymphenburg,48.16654,11.51913,Private room,189,1,0,,,1,89,0,
33929179,"comfortable, classy ISARtastic apt. central for 2",40976045,Isabelle,,Au-Haidhausen,48.12637,11.57938,Entire home/apt,85,5,7,2019-07-08,0.24,1,0,0,
34009693,"Chummy Room, 5 min to Oktoberfest",254350209,Bernhard,,Schwanthalerhöhe,48.13774,11.54434,Private room,173,2,2,2019-10-01,0.08,10,364,0,
34027690,Cozy apartment close to city center,123877724,Stefan,,Neuhausen-Nymphenburg,48.14512,11.52948,Private room,32,14,2,2019-06-30,0.07,1,0,0,
34031270,Schönes Zimmer mit Ausblick auf die Frauenkirche,235931142,Kristina,,Maxvorstadt,48.14869,11.56042,Private room,82,2,0,,,1,0,0,
34058783,Design Flat quiet and with a great view,3037624,Tanja,,Thalkirchen,48.07912,11.51214,Entire home/apt,92,1,8,2021-08-16,0.29,1,363,2,
34067974,Secret garden house,1470750,Fabien,,Schwabing-West,48.15844,11.57093,Entire home/apt,198,4,0,,,1,29,0,
34099221,Cozy Room near City Center,126403736,Linda-Antonia,,Sendling-Westpark,48.11267,11.50246,Private room,49,1,1,2019-07-27,0.04,2,89,0,
